state,event_year,total_crashes,total_injuries
Alabama,1982,46,32
Alaska,1982,132,110
Arizona,1982,84,88
Arkansas,1982,53,20
Atlantic Ocean,1982,0,0
California,1982,250,262
Caribbean Sea,1982,0,0
Colorado,1982,69,56
Connecticut,1982,0,0
Delaware,1982,2,2
District of Columbia,1982,0,0
Florida,1982,98,57
Georgia,1982,52,50
Gulf of Mexico,1982,0,0
Hawaii,1982,8,15
Idaho,1982,45,41
Illinois,1982,53,31
Indiana,1982,34,21
Iowa,1982,45,24
Kansas,1982,42,18
Kentucky,1982,25,19
Louisiana,1982,57,28
Maine,1982,0,0
Maryland,1982,19,21
Massachusetts,1982,0,0
Michigan,1982,55,29
Minnesota,1982,34,24
Mississippi,1982,23,18
Missouri,1982,62,36
Montana,1982,36,32
Nebraska,1982,33,56
Nevada,1982,25,33
New Hampshire,1982,0,0
New Jersey,1982,1,0
New Mexico,1982,50,53
New York,1982,63,24
North Carolina,1982,41,29
North Dakota,1982,19,14
Ohio,1982,58,61
Oklahoma,1982,48,35
Oregon,1982,65,41
Other Foreign,1982,0,0
Pacific Ocean,1982,0,0
Pennsylvania,1982,69,36
Puerto Rico,1982,0,0
Rhode Island,1982,0,0
South Carolina,1982,31,17
South Dakota,1982,11,3
Tennessee,1982,14,16
Texas,1982,226,163
Utah,1982,25,26
Vermont,1982,0,0
Virginia,1982,20,21
Washington,1982,84,51
West Virginia,1982,9,8
Wisconsin,1982,28,19
Wyoming,1982,32,17
Alabama,1983,55,38
Alaska,1983,195,139
Arizona,1983,90,79
Arkansas,1983,41,30
Atlantic Ocean,1983,0,0
California,1983,375,329
Caribbean Sea,1983,0,0
Colorado,1983,92,61
Connecticut,1983,0,0
Delaware,1983,3,6
District of Columbia,1983,1,0
Florida,1983,146,156
Georgia,1983,72,59
Gulf of Mexico,1983,0,0
Hawaii,1983,10,9
Idaho,1983,36,35
Illinois,1983,72,64
Indiana,1983,31,15
Iowa,1983,47,26
Kansas,1983,57,31
Kentucky,1983,30,17
Louisiana,1983,48,34
Maine,1983,0,0
Maryland,1983,29,20
Massachusetts,1983,0,0
Michigan,1983,74,43
Minnesota,1983,39,24
Mississippi,1983,19,12
Missouri,1983,69,54
Montana,1983,36,20
Nebraska,1983,37,18
Nevada,1983,34,47
New Hampshire,1983,0,0
New Jersey,1983,1,0
New Mexico,1983,40,32
New York,1983,80,82
North Carolina,1983,50,62
North Dakota,1983,23,9
Ohio,1983,52,48
Oklahoma,1983,56,61
Oregon,1983,61,39
Other Foreign,1983,0,0
Pacific Ocean,1983,0,0
Pennsylvania,1983,68,59
Puerto Rico,1983,0,0
Rhode Island,1983,0,0
South Carolina,1983,33,14
South Dakota,1983,19,21
Tennessee,1983,37,63
Texas,1983,228,168
Utah,1983,38,41
Vermont,1983,0,0
Virginia,1983,34,35
Washington,1983,93,98
West Virginia,1983,16,13
Wisconsin,1983,39,26
Wyoming,1983,39,36
Alabama,1984,36,47
Alaska,1984,154,98
Arizona,1984,73,79
Arkansas,1984,80,44
Atlantic Ocean,1984,0,0
California,1984,338,308
Caribbean Sea,1984,0,0
Colorado,1984,85,68
Connecticut,1984,0,0
Delaware,1984,5,7
District of Columbia,1984,3,0
Florida,1984,155,126
Georgia,1984,56,57
Gulf of Mexico,1984,0,0
Hawaii,1984,5,9
Idaho,1984,39,42
Illinois,1984,76,46
Indiana,1984,46,39
Iowa,1984,38,28
Kansas,1984,45,28
Kentucky,1984,20,31
Louisiana,1984,61,50
Maine,1984,1,2
Maryland,1984,24,28
Massachusetts,1984,0,0
Michigan,1984,74,50
Minnesota,1984,43,30
Mississippi,1984,26,22
Missouri,1984,70,41
Montana,1984,36,28
Nebraska,1984,38,24
Nevada,1984,35,21
New Hampshire,1984,0,0
New Jersey,1984,0,0
New Mexico,1984,44,43
New York,1984,61,54
North Carolina,1984,39,26
North Dakota,1984,26,7
Ohio,1984,70,46
Oklahoma,1984,58,46
Oregon,1984,67,61
Other Foreign,1984,0,0
Pacific Ocean,1984,0,0
Pennsylvania,1984,68,53
Puerto Rico,1984,0,0
Rhode Island,1984,0,0
South Carolina,1984,29,17
South Dakota,1984,21,8
Tennessee,1984,33,36
Texas,1984,214,185
Utah,1984,43,35
Vermont,1984,0,0
Virginia,1984,36,37
Washington,1984,85,40
West Virginia,1984,17,16
Wisconsin,1984,47,46
Wyoming,1984,30,31
Alabama,1985,37,31
Alaska,1985,134,91
Arizona,1985,70,54
Arkansas,1985,47,32
Atlantic Ocean,1985,0,0
California,1985,274,306
Caribbean Sea,1985,0,0
Colorado,1985,77,80
Connecticut,1985,0,0
Delaware,1985,4,1
District of Columbia,1985,2,2
Florida,1985,146,91
Georgia,1985,52,64
Gulf of Mexico,1985,0,0
Hawaii,1985,17,17
Idaho,1985,41,35
Illinois,1985,62,36
Indiana,1985,48,61
Iowa,1985,30,25
Kansas,1985,52,40
Kentucky,1985,29,30
Louisiana,1985,48,40
Maine,1985,0,0
Maryland,1985,30,31
Massachusetts,1985,1,1
Michigan,1985,67,93
Minnesota,1985,52,34
Mississippi,1985,19,12
Missouri,1985,67,52
Montana,1985,35,24
Nebraska,1985,27,16
Nevada,1985,35,32
New Hampshire,1985,0,0
New Jersey,1985,0,0
