event_month,weather_condition,total_crashes,total_injuries
1,IMC,732,1594
1,UNK,72,98
1,VMC,4075,3145
2,IMC,623,1071
2,UNK,69,120
2,VMC,4517,3465
3,IMC,632,1110
3,UNK,87,111
3,VMC,5905,4082
4,IMC,488,911
4,UNK,71,95
4,VMC,6804,5111
5,IMC,372,622
5,UNK,67,97
5,VMC,8208,6043
6,IMC,375,833
6,UNK,85,102
6,VMC,9252,6771
7,IMC,343,791
7,UNK,102,120
7,VMC,10429,8655
8,IMC,388,1189
8,UNK,104,146
8,VMC,9630,7937
9,IMC,422,758
9,UNK,95,389
9,VMC,7884,6160
10,IMC,526,1041
10,UNK,84,107
10,VMC,6267,4815
11,IMC,633,1257
11,UNK,72,118
11,VMC,4758,4001
12,IMC,798,1491
12,UNK,71,121
12,VMC,4094,3356
