cause_summary,perc,remainder,floored,number
loss of directional,0.001000111123458162,0.10001111234581621,0,0
undetermined,0.0037041152720672667,0.37041152720672665,0,0
crosswinds,0.0055561729081009,0.55561729081009,0,1
in-flight collision,0.007000777864207134,0.7000777864207134,0,1
out of fuel,0.009778864318257583,0.9778864318257583,0,1
in-flight fire,0.010260399303626329,0.026039930362632857,1,1
loss of plane control,0.033781531281253475,0.3781531281253474,3,3
aerodynamic stall,0.03893025150942697,0.8930251509426972,3,4
inadequate flight maintenance,0.045560617846427384,0.556061784642738,4,5
physical damage,0.052820683779679224,0.2820683779679225,5,5
Other,0.1594992036152165,0.9499203615216487,15,16
loss of engine power,0.164536800385228,0.45368003852280125,16,16
pilot's failure,0.4675704707930511,0.7570470793051101,46,47
